accolade	アーコレード	あーこれーど	
conradinae-semiplena	コンラディナエ セミプレナ	こんらでぃなえせみぷれな	
gokurakuji-zakura	極楽寺桜	ごくらくじざくら	
gozanomanioi	御座の間匂	ござのまにおい	
gosyozakura	五所桜	ごしょざくら	御所桜
goshinzakura	御信桜	ごしんざくら	
gotenba-zakura	御殿場桜	ごてんばざくら	
sakigake	さきがけ	さきがけ	
sakuyahime	咲耶姫	さくやひめ	
sasaga-oshidori	笹賀鴛鴦桜	ささがおしどりざくら	
sasabe-zakura	笹部桜	ささべざくら	
satohara	里原	さとはら	
sanozakura	佐野桜	さのざくら	
shikizaki-chojizakura	四季咲丁字桜	しきざきちょうじざくら	
shikizaki-banshi	四季咲伴氏	しきざきばんし	
shikizakura	四季桜	しきざくら	
shizuka	静香	しずか	
shizuka-zakura	静桜	しずかざくら	
shizuka-nioi	静匂	しずかにおい	
shisensho-gabisansan	四川省峨眉山産	しせんしょうがびさんさん	
shidarezakura	枝垂桜	しだれざくら	
shidarezakura-daisenshiro	枝垂桜（大仙白）	しだれざくら（だいせんしろ）	
shidare-higan	しだれ彼岸	しだれひがん	
shidare-fujizakura	枝垂富士桜	しだれふじざくら	
shidare-yamazakura	枝垂山桜（仙台枝垂）	しだれやまざくら（せんだいしだれ）	
shinamizakura	シナミザクラ	しなみざくら	
shibayama	芝山	しばやま	
syuzenjikanzakura	修善寺寒桜	しゅぜんじかんざくら	
schmittii	シュミッティイ	しゅみったい	
shogetsu	松月	しょうげつ	
shogetsu-isyu	松月異種	しょうげついしゅ	
shodo-zakura	勝道桜	しょうどうざくら	正道桜
shodo-higan	勝道彼岸	しょうどうひがん	正道彼岸
shofukuji-zakura	正福寺桜	しょうふくじざくら	湯村
showa-zakura	昭和桜	しょうわざくら	
shosai	ショーサイ	しょーさい	
shirayuki	白雪	しらゆき	
shirayukihime	白雪姫	しらゆきひめ	
shirotae	白妙	しろたえ	
shirofugen-karamurauto	シロフゲン（カラムタウト）	しろふげん（からむたうと）	白普賢|シロフゲン（キューガーデン）
shin-sumizome	新墨染	しんすみぞめ	
shinranshonin-juzukake-zakura	親鸞上人数珠掛桜	しんらんしょうにんじゅずかけざくら	
jugatsu-zakura	十月桜	じゅうがつざくら	
jyonioi	上匂	じょうにおい	
jindai-akebono	神代曙	じんだいあけぼの	
suisho	水晶	すいしょう	
sumaura-fugenzo	須磨浦普賢象	すまうらふげんぞう	
sumizome-nioi	墨染匂	すみぞめにおい	
surugadai-nioi	駿河台匂	するがだいにおい	
sunpu-zakura	駿府桜	すんぷざくら	
zuisenji-fuyuzakura	瑞泉寺冬桜	ずいせんじふゆざくら	
seimei-sakura	清明さくら	せいめいさくら	
sendaiya	仙台屋	せんだいや	
sendaiyoshino	仙台吉野	せんだいよしの	
sennenji-hizakura	専念寺緋桜	せんねんじひざくら	
senriko	千里香	せんりこう	
zenshoji-kikuzakura	善正寺菊桜	ぜんしょうじきくざくら	
sotoorihime	衣通姫	そとおりひめ	
sonosato-kizakura	園里黄桜	そのさときざくら	
sonosato-ryokuryu	園里緑龍	そのさとりょくりゅう	
somei-beni	染井紅	そめいべに	
someiyoshino	染井吉野	そめいよしの	
taizanfukun	泰山府君	たいざんふくん	
taihaku	太白	たいはく	タイハク|タイハク（別系）
taiheizakura	太平桜	たいへいざくら	
tairyo-zakura	大漁桜	たいりょうざくら	
taoyame	手弱女	たおやめ	
takaoka-koshino-higan	高岡越の彼岸	たかおかこしのひがん	
takasago	高砂	たかさご	武者桜|奈天|南殿|早生都
takato-kohigan	高遠小彼岸桜	たかとこひがんざくら	高遠小彼岸
takamatsu-chigo	高松稚児	たかまつちご	
taguiarashi	類嵐	たぐいあらし	
tatsugo-satozakura	たつご里桜	たつごさとざくら	
cheju-zakura	済州桜	ちぇじゅざくら	
chichibuzakura	秩父桜	ちちぶざくら	
chiharazakura	千原桜	ちはらざくら	
chosyuhizakura	長州緋桜	ちょうしゅうひざくら	
tyoujizakura	チョウジザクラ	ちょうじざくら	丁子桜|丁字桜|メジロザクラ
chikushizakura	筑紫桜	つくしざくら	
hirano-tsukubane	突羽根（平野突羽根）	つくばね（ひらのつくばね）	
tsubakikanzakura	椿寒桜	つばきかんざくら	
tsurukikusakura	鶴菊桜	つるきくさくら	
temari	手毬	てまり	
tenshiko	天賜香	てんしこう	
toukaizakura	東海桜	とうかいざくら	
tokyo-zakura	東京桜	とうきょうざくら	
togen	桃源	とうげん	
naito-ohshima	内藤大島	ないとうおおしま	
najimazakura	名島桜	なじまざくら	
narano-yaezakura	奈良の八重桜	ならのやえざくら	奈良八重桜
nioizakura	匂桜	においざくら	
nikko-zakura	日光桜	にっこうざくら	
nidozakura	二度桜	にどざくら	
nodano-osakura	野田の大桜	のだのおおざくら	
hakusan-hatazakura	白山旗桜	はくさんはたざくら	
hatagasane-ohshima	旗重大島	はたがさねおおしま	
hachisuka-zakura	蜂須賀桜	はちすかざくら	
hatsumiyozakura	初御代桜	はつみよざくら	
hanakagami	華加賀美	はなかがみ	花鏡
hanagasa	花笠	はながさ	
hanagatami-zakura	花筺桜	はなかたみざくら	
hamaoka-hamazaki	浜岡早咲（仮称）	はまおかはやざき（かしょう）	
hayazaki-yae-ohshima	早咲八重大島	はやざきやえおおしま	
baigoji-juzukakezakura	梅護寺数珠掛桜	ばいごじじゅずかけざくら	数珠掛桜|梅護寺数珠掛桜・数珠掛桜
banrikou	萬里香	ばんりこう	
hiuchidani-kikuzakura	火打谷菊桜	ひうちだにきくざくら	
higurashi	日暮	ひぐらし	
hitachi-miyabi	常陸乙女	ひたちおとめ	
hinagikuzakura	雛菊桜（菊枝垂の別種）	ひなぎくざくら	
himenosawa	姫の沢	ひめのさわ	
hiyoshizakura	日吉桜	ひよしざくら	
hirosaki-sandanzaki	弘前三段咲	ひろさきさんだんざき	
pink-wave	ピンク ウェーブ	ぴんくうぇーぶ	
pink-cloud	ピンク クラウド	ぴんくくらうど	
pink-perfection	ピンク パーフェクション	ぴんくぱーふぇくしょん	ピンクパーフェクション
first-lady	ファースト レディー	ふぁーすとれでぃー	
fuiri-zakura-b	斑入桜（B）	ふいりざくら（びー）	
fukuzaura	福寿桜	ふくじゅざくら	
fukurokujyu	福禄寿	ふくろくじゅ	
fugenzou	普賢象	ふげんぞう	
fusa-zakura	房桜	ふさざくら	総桜
futakami-zakura	二上山	ふたかみざくら	二上桜
funadu-13go	船津13号	ふなつじゅうさんごう	
funadu-3go	船津3号	ふなつさんごう	
funabara-yoshino	船原吉野	ふなばらよしの	
fuyu-zakura	冬桜	ふゆざくら	
furusatozakura-isyu	古里桜異種	ふるさとざくらいしゅ	
heishichi-zakura	平七桜	へいしちざくら	
benigasa	紅傘	べにがさ	
beni-shigure	紅時雨	べにしぐれ	
beni-shidare	紅枝垂	べにしだれ	
beni-tamanishiki	紅玉錦	べにたまにしき	
beni-chochin	紅提灯	べにちょうちん	
benizuruzakura	紅鶴桜	べにづるざくら	
beni-demari	紅手毬	べにでまり	
beniyutaka	紅豊	べにゆたか	
bendono	弁殿	べんどの	
hoki-zakura	伯耆桜	ほうきざくら	箒桜
hozaki-higan-yaezakura	穂咲彼岸八重桜	ほざきひがんやえざくら	
hosokawa-nioi	細川匂	ほそかわにおい	
white-fastigiata	ホワイトファスティギアータ	ほわいとふぁすてぃぎあーた	
botan	牡丹	ぼたん	
pond-c	ポンドC	ぽんどしー	
maihime	舞姫	まいひめ	
mazakura	磨桜	まざくら	
matsumae	松前	まつまえ	
matsumae-aizen	松前愛染	まつまえあいぜん	松前相生
matsumae-usugasanesomei	松前薄重染井	まつまえうすがさねそめい	
matsumae-usbenikokonoe	松前薄紅小重	まつまえうすべにこごえ	
matsumae-kazanin	松前花山院	まつまえかざんいん	松前花染院
matsumae-shiraginu	松前白絹	まつまえしらぎぬ	
matsumae-hanamiyako	松前花都	まつまえはなみやこ	花都
matsumae-hayazaki	松前早咲	まつまえはやざき	
matsumae-fukujuzakura	松前福寿桜	まつまえふくじゅざくら	
matsumae-benihigoromo	松前紅緋衣	まつまえべにひごろも	
matsumae-benimurasaki	松前紅紫	まつまえべにむらさき	
matsumae-yaekotobuki	松前八重寿	まつまえやえことぶき	
manaduruzakura	愛鶴桜	まなづるざくら	
manoga	マノガ	まのが	
mamezakura	マメザクラ	まめざくら	
mikado-yoshino	御帝吉野	みかどよしの	帝吉野
mikurumagaeshi	御車返し	みくるまがえし	桐ケ谷
mishima-fujizakura	三島藤桜	みしまふじざくら	
mitsukabizakura	三鍬桜	みつかびざくら	
midorizakura	緑桜	みどりざくら	緑萼桜|緑豆桜
minakami-taihaku	水上太白	みなかみたいはく	
minobu-zakura	身延桜	みのぶざくら	山豆桜
miyabi	雅（プリンセス）	みやび（ぷりんせす）	
murasakizakura	紫桜	むらさきざくら	
meigetsu	明月	めいげつ	
mochizukizakura	望月桜	もちづきざくら	
morioka-shidare	盛岡しだれ	もりおかしだれ	盛岡枝垂
yaeakebono	八重曙	やえあけぼの	
yaekanhizakura	八重寒緋桜	やえかんひざくら	
yaeno-ohshima	八重の大島	やえのおおしま	
yaenomamezakura	八重の豆桜	やえのまめざくら	
yaebeni-ohshima	八重紅大島	やえべにおおしま	
yaebenishidare-sanokei	八重紅枝垂(佐野系）	やえべにしだれ（さのけい）	八重紅枝垂
yaebeni-toranoo	八重紅虎の尾	やえべにとらのお	
yaebeni-higan	八重紅彼岸	やえべにひがん	
yaemiyamazakura	八重深山桜	やえみやまざくら	
yaemurasakizakura-koshimizukei	八重紫桜（小清水系）	やえむらさきざくら（こしみずけい）	八重紫桜（富山林試系）
yakuoji-yae	薬王寺八重	やくおうじやえ	
yatsubusazakura	八房桜	やつぶさざくら	
yamazakura	ヤマザクラ	やまざくら	
yumehagizakura	夢萩桜	ゆめはぎざくら	
youkihi	楊貴妃	ようきひ	楊貴妃（江戸系）
yoko	陽光	ようこう	
yousyun	陽春	ようしゅん	
yoro-zakura	養老桜	ようろうざくら	
yokohamahizakura	横浜緋桜	よこはまひざくら	
yokowazakura	横輪桜	よこわざくら	
yonono-yaezakura	予野の八重桜	よののやえざくら	
raikoji-kikuzakura	来迎寺菊桜	らいこうじきくざくら	
ranran	蘭蘭	らんらん	
ryuunin-beniyaezakura	龍雲院紅八重桜	りゅううんいんべにやえざくら	
royal-burgundy	ロイヤルバーガンディ	ろいやるばーがんでぃ	
wakakinosakura	稚木の桜	わかきのさくら	
washinoo	鷲の尾	わしのお	
watanabezakura	渡辺桜	わたなべざくら	
wadai	ワダイ	わだい	
wabihito	ワビヒト	わびひと	
aoba	青葉	あおば	
akatsukizakura	暁桜	あかつきざくら	
akatsunaden	暁撫弦	あかつきなでん	
akaneyae	茜八重	あかねやえ	
asagirizakura	朝霧桜	あさぎりざくら	
akihimezakura	秋姫桜	あきひめざくら	
akebonozakura	曙桜	あけぼのざくら	
asatsuyuzakura	朝露桜	あさつゆざくら	
asami	浅見	あさみ	
ashigarazakura	春めき	あしがらざくら	足柄桜
gekko	月光	あしずりざくら	足摺桜|月光桜|西幡多桜
azumahigan	東彼岸	あずまひがん	
amedamazakura	雨玉桜	あめだまざくら	飴玉桜
ayanishiki	綾錦	あやにしき	
izayoizakura	十六夜桜	いざよいざくら	
ishizuchizakura	石鎚桜	いしづちざくら	
izuzakura	伊豆桜	いずざくら	
izutoizakura	伊豆戸居桜	いずといざくら	
itoukomorozakura	伊藤小室桜	いとうこむろざくら	
itozakura	糸桜	いとざくら	
ibozakura	疣桜	いぼざくら	
imaiichikizakura	今井一木桜	いまいいちきざくら	
imazubenikunzakura	今津紅寒桜	いまづべにかんざくら	
iyokumagai	伊予熊谷	いよくまがい	
iriaizakura	入会桜	いりあいざくら	
usuirokanzakura	薄色寒桜	うすいろかんざくら	
usugeyamazakura	薄毛山桜	うすげやまざくら	
usuzan	薄山	うすざん	
usubenikunzakura	薄紅寒桜	うすべにかんざくら	
ubahigan	ウバヒガン	うばひがん	
umaji	ウマジ	うまじ	
urawa	ウラワ	うらわ	
unnanzakura	ウンナンザクラ	うんなんざくら	
eishu-zakura	エイシュウザクラ	えいしゅうざくら	
ezonogasumizakura	エゾノガスミザクラ	えぞのがすみざくら	
ezozakura	エゾザクラ	えぞざくら	
ezoyamazakura	エゾヤマザクラ	えぞやまざくら	
edohigan-yae	エドヒガンヤエ	えどひがんやえ	
etorofuzakura	エトロフザクラ	えとろふざくら	
eboshizakura	エボシザクラ	えぼしざくら	
endozakura	エンドウザクラ	えんどうざくら	
ouchiyama	オオウチヤマ	おおうちやま	
oookuchoji-zakura	オオオクチョウジザクラ	おおおくちょうじざくら	
ookamezakura	オオカメザクラ	おおかめざくら	
osaka-fuyuzakura	オオサカフユザクラ	おおさかふゆざくら	
oshogun	オオショウクン	おおしょうくん	
osomei	オオソメイ	おおそめい	
oodemari	オオデマリ	おおでまり	
oobanamame-zakura	オオバナマメザクラ	おおばなまめざくら	
ooyamazakura	オオヤマザクラ	おおやまざくら	
okamoto-zakura	オカモトザクラ	おかもとざくら	
okinazakura	オキナザクラ	おきなざくら	
okumiyako	オクミヤコ	おくみやこ	
oguraya-mazakura	オグラヤマザクラ	おぐらやまざくら	
okesa	オケサ	おけさ	
osozaki-oshima	オソザキオオシマ	おそざきおおしま	
otani-yae	オタニヤエ	おたにやえ	
otomegasumi	オトメガスミ	おとめがすみ	
obizakura	オビザクラ	おびざくら	
ontake-mamezakura	オンタケマメザクラ	おんたけまめざくら	
gakunanzakura	ガクナンザクラ	がくなんざくら	
kasazakura	笠桜	かさざくら	
kasugai	春日井	かすがい	
kasumiezoyamazakura	霞蝦夷山桜	かすみえぞやまざくら	
kasumiooyamazakura	霞大山桜	かすみおおやまざくら	
kamakazezakura	鎌掛桜	かまかけざくら	
kamonokebono	加茂の曙	かものあけぼの	
karamizakura	唐実桜	からみざくら	
kariginu	狩衣	かりぎぬ	
kawadzushogatu	河津正月	かわづしょうがつ	
kawanishizakura	川西桜	かわにしざくら	
kankaoto	寒花桜桃	かんかおうとう	
kankan	寒寒	かんかん	
kanzakura	寒桜	かんざくら	
kanjitsuzakura	寒実桜	かんじつざくら	
kikuzakichoujizakura	菊咲丁子桜	きくざきちょうじざくら	
kikuzakura	菊桜	きくざくら	
kitanozakura	北の桜	きたのざくら	
kichijoji	吉祥寺	きちじょうじ	
kinashichigozakura	鬼無稚児桜	きなしちござくら	木梨稚児桜
kibizakura	吉備桜	きびざくら	高梁霞桜
kiyosumishidare	清澄枝垂	きよすみしだれ	枝垂小葉桜
kirigaya	桐ヶ谷	きりがや	
kiritachiyamazakura	切立山桜	きりたちやまざくら	
kujootome	九条乙女	くじょうおとめ	
kumenosakura	久米の桜	くめのさくら	
kumoizakura	雲居桜	くもいざくら	
kumogabata	雲ヶ畑	くもがばた	雲ケ畑
kumonoe	雲の上	くものえ	
kuramakauzan	鞍馬寒山	くらまかんざん	
kuramanibana	鞍馬二花	くらまにばな	
キヌガサ	衣笠	きぬがさ	
キリタチヤマザクラ	霧立山桜	きりたちやまざくら	
クモノエ	雲の井	くものえ	
クラマカンザン	鞍馬関山	くらまかんざん	鞍馬本社
クラマニバナ	鞍馬似花	くらまにばな	
クルマドメ	車駐	くるまどめ	
クロダヒャクネン	黒田百年	くろだひゃくねん	
クワジマザクラ	桑島桜	くわじまざくら	
ゲバザクラ	下馬桜	げばざくら	
ケヤマザクラ	霞桜	けやまざくら	毛山桜
ケンロクエンシキザクラ	兼六園冬桜	けんろくえんしきざくら	兼六園四季桜
コウゼンジシロヤエザクラ	光善寺白八重桜	こうぜんじしろやえざくら	
コウダイジ	高台寺	こうだいじ	
コウヨウ	松前紅陽	こうよう	紅陽
コウラン	紅蘭	こうらん	
コウリン	松前香輪	こうりん	香輪
コガネイウスベニザクラ	小金井薄紅桜	こがねいうすべにざくら	
コシノフクカサネ	越の福かさね	こしのふくかさね	越の福重
コシミズハヤザキ	越水早咲き	こしみずはやざき	満池谷桜
ゴショサコンノサクラ	御所左近の桜	ごしょさこんのさくら	
ゴショミクルマガエシ	御所御車返し	ごしょみくるまがえし	
satsuma-zakura	薩摩桜	さつまざくら	
satsuma-hizakura	薩摩緋桜	さつまひざくら	
sanoki-kuzakura	佐野菊桜	さのきくざくら	
sanzenki-zakura	三千木桜	さんぜんきざくら	
shiokaze-zakura	潮風桜	しおかぜざくら	
shiogama	塩竈	しおがま	塩竈桜
shionobori	塩昇	しおのぼり	
