accolade	アーコレード	あーこれーど	
beniyoshino	紅吉野	べによしの	
houmyouji	豊明寺	ほうみょうじ	
houraizakura	蓬莱桜	ほうらいざくら	
houraisan	蓬莱山	ほうらいさん	
hourinji	法輪寺	ほうりんじ	
hokuenzakura	北苑桜	ほくえんざくら	
hokutotakasago	北斗高砂	ほくとたかさご	
hoshizakura	星桜	ほしざくら	
hotate	帆立	ほたて	
horiihizakura	堀井緋桜	ほりいひざくら	
honseijikogikuzakura	本誓寺小菊桜	ほんせいじこぎくざくら	
honseijishidare	本誓寺枝垂	ほんせいじしだれ	白滝枝垂
bonborizakura	雪洞桜	ぼんぼりざくら	
machimura	待村桜	まちむらざくら	
matsuhimezakura	松姫桜	まつひめざくら	
matsumaeakane	松前茜	まつまえあかね	
matsumaeavanishiki	松前綾錦	まつまえあやにしき	
matsumaearatama	松前新玉	まつまえあらたま	
matsumaekorin	松前紅鱗	まつまえこうりん	
matsumaekoitozakura	松前琴糸桜	まつまえこといとざくら	
matsumaeokoyuki	松前小雪	まつまえこゆき	
matsumaesasameyuki	松前笹目雪	まつまえささめゆき	
matsumaesarasa	松前更紗	まつまえさらさ	
matsumaeoshizuka	松前静	まつまえしずか	
matsumaeshirasagi	松前白鷺	まつまえしらさぎ	白鷺
matsumaeshirobotan	松前白牡丹	まつまえしろぼたん	
matsumaesekimori	松前関守	まつまえせきもり	
matsumaefuki	松前深紅	まつまえふき	
matsumaefukuzakura	松前福桜	まつまえふくざくら	
matsumae-beni-usome	松前紅染	まつまえべにうぞめ	
matsumae-benigasa	松前紅笠	まつまえべにがさ	
matsumae-beni-kosode	松前紅小袖	まつまえべにこそで	
matsumae-beni-botan	松前紅牡丹	まつまえべにぼたん	
matsumae-yae-goromo	松前八重衣	まつまえやえごろも	
matsumae-yuen	松前幽艶	まつまえゆうえん	
mani-yae-yamazakura	真仁八重山桜	まにやえやまざくら	
maruyama	丸山	まるやま	
mishima-zakura	三島桜	みしまざくら	
mishima-taki-nioi	三島滝匂	みしまたきにおい	
mizutama-zakura	水玉桜	みずたまざくら	
misumi-ohira-zakura	三角大平桜	みすみおおひらざくら	
midono-yae	三殿野八重	みどのやえ	御堂八重
midori-kinki-mame-zakura	緑近畿豆桜	みどりきんきまめざくら	
midori-yoshino	緑吉野	みどりよしの	
minami-zakura	南桜	みなみざくら	
mine-zakura	峰桜	みねざくら	高嶺桜
miyano-hina-zakura	宮野雛桜	みやのひなざくら	
miyama-zakura	深山桜	みやまざくら	白桜|シロザクラ
meg-zakura	目具桜	めぐざくら	
mejiro-zakura	目白桜	めじろざくら	
moniwa-zakura	茂庭桜	もにわざくら	
yae-zaki-yamahigan	八重咲き山彼岸	やえざきやまひがん	
